1024 64 3.19
1024 128 4.39
1024 256 8.08
1024 512 16.79
1024 1024 38.53
2048 64 3.21
2048 128 4.30
2048 256 8.02
2048 512 17.06
2048 1024 40.76
2048 2048 81.99
4096 64 2.67
4096 128 3.94
4096 256 8.05
4096 512 17.72
4096 1024 38.96
4096 2048 77.81
4096 4096 150.12
8192 64 5.21
8192 128 4.97
8192 256 8.83
8192 512 17.89
8192 1024 39.97
8192 2048 78.99
8192 4096 149.68
8192 8192 367.23
16384 64 6.70
16384 128 7.00
16384 256 10.23
16384 512 18.75
16384 1024 42.53
16384 2048 80.64
16384 4096 157.27
16384 8192 374.04
16384 16384 1328.56
32768 64 8.94
32768 128 9.44
32768 256 13.36
32768 512 24.97
32768 1024 47.90
32768 2048 86.71
32768 4096 168.98
32768 8192 416.08
32768 16384 1383.80
65536 64 14.45
65536 128 14.50
65536 256 18.45
65536 512 30.32
65536 1024 55.83
65536 2048 95.78
65536 4096 178.56
65536 8192 456.26
65536 16384 1427.67
131072 64 28.60
131072 128 27.86
131072 256 31.43
131072 512 42.73
131072 1024 69.71
131072 2048 113.43
131072 4096 202.96
131072 8192 579.84
131072 16384 1635.20
262144 64 54.10
262144 128 51.93
262144 256 58.15
262144 512 69.06
262144 1024 99.98
262144 2048 146.84
262144 4096 249.16
262144 8192 761.13
262144 16384 1854.34
524288 64 100.19
524288 128 101.30
524288 256 114.22
524288 512 117.21
524288 1024 145.95
524288 2048 197.18
524288 4096 339.76
524288 8192 1217.89
524288 16384 2537.85
1048576 64 193.51
1048576 128 210.84
1048576 256 210.29
1048576 512 217.64
1048576 1024 299.96
1048576 2048 300.97
1048576 4096 579.40
1048576 8192 2061.54
1048576 16384 3710.95
2097152 64 392.78
2097152 128 397.58
2097152 256 425.28
2097152 512 436.39
2097152 1024 498.25
2097152 2048 522.70
2097152 4096 929.31
2097152 8192 3629.94
2097152 16384 6366.15
4194304 64 835.31
4194304 128 805.01
4194304 256 830.00
4194304 512 840.66
4194304 1024 890.00
4194304 2048 964.46
4194304 4096 1711.55
4194304 8192 7045.99
4194304 16384 11168.69
8388608 64 1555.90
8388608 128 1609.54
8388608 256 1648.20
8388608 512 1710.40
8388608 1024 1818.45
8388608 2048 1861.84
8388608 4096 3213.45
8388608 8192 13796.80
8388608 16384 21126.55
16777216 64 3160.49
16777216 128 3207.91
16777216 256 3244.53
16777216 512 3311.93
16777216 1024 3554.03
16777216 2048 3624.36
16777216 4096 6405.46
16777216 8192 27266.79
16777216 16384 41142.36
33554432 64 6387.53
33554432 128 6392.67
33554432 256 6467.45
33554432 512 6645.21
33554432 1024 6901.77
33554432 2048 7339.54
33554432 4096 12793.48
33554432 8192 54352.78
33554432 16384 80605.23
