1 2000000 3 1 50 0 704.56 284.00 871.00 3982.60 63.11 691.00 729.50 751.00 825.00 870.00 14336.00
1 2000000 3 1 50 0 927.74 565.00 1145.00 7861.41 88.66 920.50 961.00 1045.00 1095.00 1145.00 16128.00
1 2000000 3 1 50 0 985.12 435.00 1448.00 18969.89 137.73 965.00 1009.00 1053.70 1165.40 1447.00 16000.00
1 2000000 3 1 50 0 1072.41 458.00 1224.00 9615.13 98.06 1085.00 1109.00 1149.00 1186.80 1223.00 14976.00
1 2000000 3 1 50 0 1096.65 460.00 1258.00 11304.69 106.32 1098.00 1139.00 1178.10 1231.00 1258.00 16128.00
1 2000000 4 1 50 0 953.01 449.00 1105.00 8095.53 89.98 969.00 987.00 1052.20 1057.00 1104.00 20480.00
1 2000000 4 1 50 0 589.82 327.00 690.00 1885.01 43.42 586.00 612.00 639.00 652.60 689.00 16896.00
1 2000000 4 1 50 0 810.69 372.00 1137.00 14507.93 120.45 776.00 874.00 972.00 1030.65 1137.00 18432.00
1 2000000 4 1 50 0 958.22 343.00 1254.00 14667.82 121.11 921.00 1013.00 1101.00 1196.40 1253.00 17920.00
1 2000000 4 1 50 0 880.72 447.00 1020.00 5925.27 76.98 871.00 934.00 952.00 1003.60 1019.00 21120.00
1 2000000 4 1 50 0 869.46 480.00 978.00 4942.11 70.30 864.00 897.00 957.00 967.60 978.00 21824.00
1 2000000 10 3 50 0 862.67 309.00 1533.00 141427.67 376.07 698.00 1237.00 1375.40 1486.00 1531.00 70400.00
1 2000000 10 3 50 0 874.83 341.00 1125.00 12598.22 112.24 872.00 933.00 993.00 1078.00 1120.00 88000.00
1 2000000 10 3 50 0 991.83 288.00 1677.00 79740.73 282.38 875.00 1170.00 1496.00 1526.50 1585.70 83600.00
1 2000000 10 3 50 0 979.24 260.00 1449.00 23580.79 153.56 985.00 1065.00 1151.40 1210.20 1441.04 87400.00
1 2000000 10 3 50 0 1059.54 553.00 1560.00 75367.35 274.53 1158.00 1256.00 1357.00 1425.60 1558.00 84600.00
1 2000000 10 3 50 0 1054.90 438.00 1609.00 56574.46 237.85 986.00 1272.25 1366.30 1447.65 1560.33 86400.00
1 2000000 10 3 50 0 1346.39 345.00 1781.00 26881.63 163.96 1361.00 1416.00 1505.00 1599.00 1779.00 89600.00
1 2000000 10 4 50 0 737.40 209.00 1037.00 7949.60 89.16 737.50 776.00 852.00 891.65 944.84 83200.00
1 2000000 10 4 50 0 962.55 249.00 1967.00 34144.08 184.78 993.00 1047.00 1080.00 1099.80 1694.98 96000.00
1 2000000 10 4 50 0 986.11 275.00 1336.00 33706.98 183.59 1019.00 1115.75 1204.70 1270.70 1322.91 98800.00
1 2000000 10 4 50 0 1006.88 456.00 1638.00 76144.49 275.94 1154.00 1232.50 1290.80 1357.00 1468.84 100700.00
1 2000000 10 4 50 0 1058.10 431.00 1846.00 122679.97 350.26 928.50 1420.50 1618.50 1671.00 1780.85 97200.00
1 2000000 10 4 50 0 1168.29 295.00 1760.00 66141.27 257.18 1212.00 1337.50 1472.40 1623.00 1671.00 89600.00
1 2000000 10 4 50 0 1156.68 365.00 1641.00 40455.47 201.14 1189.50 1299.75 1399.70 1511.35 1598.67 102400.00
1 2000000 10 5 50 0 747.82 208.00 962.00 17508.49 132.32 785.00 811.50 836.80 860.70 913.00 83200.00
1 2000000 10 5 50 0 909.97 218.00 1291.00 43737.93 209.14 944.50 1052.75 1125.90 1169.00 1282.00 84000.00
