1 64 721
1 128 1219
1 256 2183
1 512 4335
1 1024 8995
1 2048 19001
1 4096 33897
1 8192 68540
1 16384 141054
2 64 1554
2 128 1412
2 256 2504
2 512 4960
2 1024 9530
2 2048 19272
2 4096 38871
2 8192 71996
2 16384 160020
3 64 1133
3 128 1510
3 256 3041
3 512 5315
3 1024 10313
3 2048 20315
3 4096 38665
3 8192 77382
3 16384 166892
4 64 1197
4 128 1881
4 256 3126
4 512 5583
4 1024 10340
4 2048 23512
4 4096 39156
4 8192 76569
4 16384 152047
5 64 1197
5 128 1988
5 256 3247
5 512 5703
5 1024 10472
5 2048 23410
5 4096 39156
5 8192 74658
5 16384 157095
6 64 1373
6 128 2022
6 256 3630
6 512 6227
6 1024 11332
6 2048 22310
6 4096 39819
6 8192 82448
6 16384 161032
7 64 1612
7 128 2009
7 256 3695
7 512 6837
7 1024 11578
7 2048 22702
7 4096 42899
7 8192 80921
7 16384 209695
8 64 1468
8 128 2230
8 256 3650
8 512 6892
8 1024 11213
8 2048 23564
8 4096 50613
8 8192 79773
8 16384 162739
9 64 1683
9 128 2146
9 256 3874
9 512 7498
9 1024 11893
9 2048 23821
9 4096 44007
9 8192 82883
9 16384 181011
10 64 1745
10 128 2315
10 256 4002
10 512 7482
10 1024 11863
10 2048 24971
10 4096 43134
10 8192 88467
10 16384 199611
