0.58 2.28 2.64 0.81
1.52 2.91 3.67 1.94
3.71 5.01 5.09 4.99
8.65 8.73 8.06 7.05
19.93 18.21 12.35 12.88
48.98 37.63 22.44 22.73
197.78 127.74 75.58 82.7
