1 64 999
1 128 800
1 256 1538
1 512 3540
1 1024 7966
1 2048 16149
1 4096 28817
1 8192 60451
1 16384 139748
2 64 1113
2 128 1103
2 256 1776
2 512 3473
2 1024 8318
2 2048 16347
2 4096 28785
2 8192 61907
2 16384 118463
3 64 1185
3 128 1180
3 256 1906
3 512 3609
3 1024 7508
3 2048 16855
3 4096 31292
3 8192 64916
3 16384 134938
4 64 1289
4 128 1293
4 256 2416
4 512 4058
4 1024 7891
4 2048 24471
4 4096 30316
4 8192 65246
4 16384 137626
5 64 2598
5 128 1373
5 256 2635
5 512 4450
5 1024 8465
5 2048 18390
5 4096 30290
5 8192 63417
5 16384 131415
6 64 1898
6 128 1544
6 256 2616
6 512 4394
6 1024 8389
6 2048 20119
6 4096 30569
6 8192 59310
6 16384 126360
7 64 1865
7 128 1658
7 256 2709
7 512 4487
7 1024 8417
7 2048 18264
7 4096 30212
7 8192 60662
7 16384 121958
8 64 2073
8 128 1994
8 256 3195
8 512 6021
8 1024 9410
8 2048 20311
8 4096 32113
8 8192 60642
8 16384 140546
9 64 2216
9 128 1800
9 256 3193
9 512 6113
9 1024 9934
9 2048 21327
9 4096 32656
9 8192 61469
9 16384 132412
10 64 2401
10 128 2052
10 256 3432
10 512 6334
10 1024 9882
10 2048 19848
10 4096 35499
10 8192 68006
10 16384 128982
