1024 64 3.62
1024 128 6.25
1024 256 10.04
1024 512 19.92
1024 1024 44.99
2048 64 10.47
2048 128 5.02
2048 256 9.74
2048 512 18.68
2048 1024 43.91
2048 2048 84.86
4096 64 3.62
4096 128 5.62
4096 256 10.58
4096 512 18.89
4096 1024 44.60
4096 2048 83.31
4096 4096 169.42
8192 64 4.17
8192 128 5.96
8192 256 10.19
8192 512 19.27
8192 1024 45.96
8192 2048 83.40
8192 4096 169.52
8192 8192 378.62
16384 64 6.56
16384 128 7.91
16384 256 12.58
16384 512 21.18
16384 1024 47.55
16384 2048 87.09
16384 4096 173.54
16384 8192 384.31
16384 16384 1377.94
32768 64 21.98
32768 128 11.82
32768 256 15.29
32768 512 30.05
32768 1024 51.60
32768 2048 91.22
32768 4096 177.92
32768 8192 438.55
32768 16384 1363.11
32768 32768 7421.81
65536 64 15.50
65536 128 16.80
65536 256 23.29
65536 512 32.56
65536 1024 63.10
65536 2048 96.70
65536 4096 199.33
65536 8192 481.14
65536 16384 1392.84
65536 32768 7721.58
65536 65536 27780.06
131072 64 31.24
131072 128 28.23
131072 256 37.64
131072 512 45.15
131072 1024 73.69
131072 2048 112.22
131072 4096 222.19
131072 8192 566.72
131072 16384 1670.62
131072 32768 7809.09
131072 65536 29594.43
262144 64 55.82
262144 128 51.93
262144 256 55.11
262144 512 67.36
262144 1024 115.24
262144 2048 142.54
262144 4096 241.99
262144 8192 825.67
262144 16384 2110.38
262144 32768 8224.04
262144 65536 33250.81
524288 64 98.98
524288 128 99.00
524288 256 136.19
524288 512 140.11
524288 1024 181.25
524288 2048 185.82
524288 4096 355.77
524288 8192 1185.58
524288 16384 2485.79
524288 32768 8832.21
524288 65536 40260.82
1048576 64 195.30
1048576 128 248.70
1048576 256 196.37
1048576 512 212.06
1048576 1024 253.17
1048576 2048 281.81
1048576 4096 639.53
1048576 8192 1953.47
1048576 16384 3751.18
1048576 32768 10235.55
1048576 65536 54926.86
2097152 64 386.72
2097152 128 383.54
2097152 256 419.33
2097152 512 521.53
2097152 1024 482.13
2097152 2048 547.84
2097152 4096 993.07
2097152 8192 3785.57
2097152 16384 6349.94
2097152 32768 13193.52
2097152 65536 82085.80
4194304 64 799.10
4194304 128 784.08
4194304 256 842.61
4194304 512 824.20
4194304 1024 865.25
4194304 2048 994.90
4194304 4096 1635.87
4194304 8192 6951.25
4194304 16384 11331.82
4194304 32768 18857.54
4194304 65536 139764.36
8388608 64 1580.08
8388608 128 1567.71
8388608 256 1660.37
8388608 512 1661.08
8388608 1024 2090.93
8388608 2048 1865.52
8388608 4096 3203.82
8388608 8192 13833.33
8388608 16384 21078.18
8388608 32768 29287.31
8388608 65536 252269.72
16777216 64 3202.07
16777216 128 3103.09
16777216 256 3228.64
16777216 512 3379.18
16777216 1024 3399.18
16777216 2048 3681.30
16777216 4096 6410.27
16777216 8192 27290.71
16777216 16384 40933.53
16777216 32768 52419.85
16777216 65536 477754.77
33554432 64 6464.41
33554432 128 6343.42
33554432 256 6535.00
33554432 512 6614.14
33554432 1024 6962.47
33554432 2048 7239.28
33554432 4096 13086.99
33554432 8192 54375.65
33554432 16384 80449.32
33554432 32768 96282.48
33554432 65536 931714.43
