1 64 991
1 128 784
1 256 1499
1 512 3392
1 1024 8046
1 2048 17462
1 4096 27695
1 8192 55326
1 16384 118998
1 32768 344131
1 65536 1829904
1 131072 4138269
1 262144 9485257
2 64 1217
2 128 1098
2 256 1741
2 512 3620
2 1024 7612
2 2048 16967
2 4096 28323
2 8192 60888
2 16384 117328
2 32768 398193
2 65536 1762331
2 131072 4020812
2 262144 9555498
3 64 1213
3 128 1430
3 256 1921
3 512 3568
3 1024 7562
3 2048 17374
3 4096 30375
3 8192 58004
3 16384 122550
3 32768 415551
3 65536 1806689
3 131072 4196419
3 262144 9665959
4 64 1444
4 128 1373
4 256 3474
4 512 4002
4 1024 7833
4 2048 17718
4 4096 30662
4 8192 57192
4 16384 123996
4 32768 333839
4 65536 1751141
4 131072 4214482
4 262144 9766312
5 64 1588
5 128 1386
5 256 2584
5 512 4245
5 1024 8470
5 2048 17742
5 4096 30373
5 8192 68436
5 16384 120029
5 32768 373235
5 65536 1784270
5 131072 4300999
5 262144 9604293
6 64 1937
6 128 1685
6 256 2839
6 512 4497
6 1024 8498
6 2048 18465
6 4096 31787
6 8192 60187
6 16384 125082
6 32768 457520
6 65536 1826475
6 131072 4267011
6 262144 9745204
7 64 1970
7 128 1850
7 256 2803
7 512 4598
7 1024 8463
7 2048 18574
7 4096 30609
7 8192 61334
7 16384 134260
7 32768 365376
7 65536 1821277
7 131072 4450665
7 262144 9646061
8 64 2168
8 128 1804
8 256 2900
8 512 6124
8 1024 9662
8 2048 19437
8 4096 33236
8 8192 63311
8 16384 169147
8 32768 412252
8 65536 1823527
8 131072 4282159
8 262144 9753240
9 64 2170
9 128 1805
9 256 3152
9 512 6028
9 1024 9474
9 2048 26883
9 4096 32817
9 8192 62128
9 16384 129383
9 32768 414108
9 65536 1760682
9 131072 4243441
9 262144 9710302
10 64 2418
10 128 1922
10 256 3323
10 512 6298
10 1024 11295
10 2048 20559
10 4096 33115
10 8192 66045
10 16384 137521
10 32768 404985
10 65536 1787217
10 131072 4238477
10 262144 9754086
