1 64 692
1 128 1256
1 256 2128
1 512 4260
1 1024 9122
1 2048 18938
1 4096 33954
1 8192 71910
1 16384 160194
1 32768 416314
1 65536 1848860
1 131072 4249092
1 262144 9716769
2 64 884
2 128 1381
2 256 2582
2 512 4621
2 1024 9489
2 2048 19439
2 4096 36945
2 8192 72544
2 16384 144395
2 32768 424390
2 65536 1847660
2 131072 4309220
2 262144 9766282
3 64 990
3 128 3214
3 256 3120
3 512 6150
3 1024 10095
3 2048 26165
3 4096 38131
3 8192 75900
3 16384 149981
3 32768 382522
3 65536 1868822
3 131072 4372670
3 262144 9603561
4 64 1131
4 128 1848
4 256 3170
4 512 5675
4 1024 10667
4 2048 21559
4 4096 38894
4 8192 73657
4 16384 157393
4 32768 434310
4 65536 1916054
4 131072 4322731
4 262144 9645150
5 64 1367
5 128 1998
5 256 3457
5 512 5801
5 1024 16673
5 2048 23353
5 4096 40115
5 8192 77232
5 16384 175660
5 32768 556984
5 65536 1884856
5 131072 4404092
5 262144 9778289
6 64 1410
6 128 1969
6 256 3602
6 512 6058
6 1024 11245
6 2048 22489
6 4096 40017
6 8192 76900
6 16384 157409
6 32768 432344
6 65536 1893842
6 131072 4456184
6 262144 9574686
7 64 1592
7 128 2024
7 256 3583
7 512 6488
7 1024 11181
7 2048 23524
7 4096 40423
7 8192 83119
7 16384 163405
7 32768 436545
7 65536 1859926
7 131072 4415278
7 262144 9651451
8 64 1679
8 128 2286
8 256 3724
8 512 6924
8 1024 11079
8 2048 22959
8 4096 40435
8 8192 78852
8 16384 208632
8 32768 387832
8 65536 1883217
8 131072 4459409
8 262144 9755305
9 64 1652
9 128 2170
9 256 4411
9 512 7001
9 1024 12022
9 2048 23717
9 4096 46581
9 8192 80039
9 16384 158592
9 32768 417827
9 65536 1892580
9 131072 4401975
9 262144 9629361
10 64 1679
10 128 2366
10 256 3955
10 512 7218
10 1024 12012
10 2048 23865
10 4096 43863
10 8192 83682
10 16384 166634
10 32768 407854
10 65536 1894058
10 131072 4418567
10 262144 9787036
